Seed,NeuronType,MFs,update_gene,mutation_rate,mutation_individual_rate,crossover_rate,max_generations,max_patience,mu,lambda,selection_strategy,Train_Acc.,Dev_Acc.,Test_Acc.,time
6,orneuron_probsum-prod,2,,0.2,0.3,0.7,50,20,50,70,plus,0.748,0.746,0.675,1080.3476076126099
6,orneuron_probsum-prod,2,,0.2,0.7,0.3,50,20,50,70,plus,0.743,0.761,0.689,1133.3635721206665
6,orneuron_probsum-prod,2,,0.2,0.7,0.7,50,20,50,70,plus,0.764,0.761,0.679,2141.121633052826
7,andneuron_prod-probsum,2,,0.1,0.3,0.3,50,20,50,70,plus,0.758,0.754,0.708,1600.2835829257965
7,andneuron_prod-probsum,2,,0.1,0.3,0.7,50,20,50,70,plus,0.758,0.739,0.672,1536.1188125610352
7,andneuron_prod-probsum,2,,0.1,0.7,0.3,50,20,50,70,plus,0.737,0.746,0.675,1822.0655620098114
7,andneuron_prod-probsum,2,,0.1,0.7,0.7,50,20,50,70,plus,0.75,0.754,0.698,2598.696384191513
7,andneuron_prod-probsum,2,,0.2,0.3,0.3,50,20,50,70,plus,0.753,0.768,0.692,1818.0086402893066
7,andneuron_prod-probsum,2,,0.2,0.3,0.7,50,20,50,70,plus,0.753,0.754,0.685,2465.909523010254
7,andneuron_prod-probsum,2,,0.2,0.7,0.3,50,20,50,70,plus,0.739,0.761,0.669,1536.373698234558
7,andneuron_prod-probsum,2,,0.2,0.7,0.7,50,20,50,70,plus,0.753,0.746,0.698,1673.7149732112885
7,orneuron_probsum-prod,2,,0.1,0.3,0.3,50,20,50,70,plus,0.76,0.746,0.652,1231.2532513141632
7,orneuron_probsum-prod,2,,0.1,0.3,0.7,50,20,50,70,plus,0.751,0.754,0.692,1844.9972386360168
7,orneuron_probsum-prod,2,,0.1,0.7,0.3,50,20,50,70,plus,0.757,0.746,0.682,1084.4933950901031
7,orneuron_probsum-prod,2,,0.1,0.7,0.7,50,20,50,70,plus,0.757,0.761,0.689,1486.6949636936188
7,orneuron_probsum-prod,2,,0.2,0.3,0.3,50,20,50,70,plus,0.741,0.754,0.666,1387.2508268356323
7,orneuron_probsum-prod,2,,0.2,0.3,0.7,50,20,50,70,plus,0.753,0.746,0.698,1082.3157849311829
7,orneuron_probsum-prod,2,,0.2,0.7,0.3,50,20,50,70,plus,0.744,0.754,0.656,1892.9238665103912
7,orneuron_probsum-prod,2,,0.2,0.7,0.7,50,20,50,70,plus,0.753,0.761,0.689,1132.5643734931946
